location_experiment,location_normalization,location
Amsterdam,Amsterdam,Amsterdam
Duesseldorf_I,DDorf,Duesseldorf (I)
Duesseldorf_II,,Duesseldorf (II)
Edinburgh,Edinburgh,Edinburgh
FU_Berlin,Berlin,Berlin
Jena,Jena,Jena
Leipzig,Leipzig,Leipzig
Seville,seville,Seville
Tuebingen,Tuebingen,Tuebingen
